id,sira,ders,sinif,unite,konu,baslik,kazanim_kodu,kazanim,aciklama,yorum,etiketler
turk_dili_ve_edebiyati-ort-A_4_14,57,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,A.4.14,Türün ve dönemin/akımın diğer önemli yazarlarını ve eserlerini sıralar.,"Önde gelen, temsil eden diğer yerli ve yabancı yazar ve eserlerden bahsedilir.","Kazanımın odağı, öğrencinin türün ve dönemin/akımın diğer önemli yazarlarını ve eserlerini sıralar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",türün; dönemin; akımın; diğer; önemli; yazarlarını; eserlerini; sıralar
turk_dili_ve_edebiyati-ort-A_4_15,58,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,A.4.15,Metinlerden hareketle dil bilgisi çalışmaları yapar.,,"Kazanımın odağı, öğrencinin metinlerden hareketle dil bilgisi çalışmaları yapar. hedefidir.",metinlerden; hareketle; bilgisi; çalışmaları
turk_dili_ve_edebiyati-ort-B_1,59,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,B.1,Farklı türlerde metinler yazar.,"a. “Ünite, Süre ve İçerikleri “tablosunda belirtilen türlerde yazma çalışmaları yaptırılır. b. İşlenen metinden hareketle farklı türlerde yazma çalışmalarına da yer verilir.","Kazanımın odağı, öğrencinin farklı türlerde metinler yazar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",farklı; türlerde; metinler; yazar
turk_dili_ve_edebiyati-ort-B_2,60,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,B.2,"Yazacağı metnin türüne göre konu, tema, ana düşünce, amaç ve hedef kitleyi belirler.",,"Kazanımın odağı, öğrencinin yazacağı metnin türüne göre konu, tema, ana düşünce, amaç ve hedef kitleyi belirler. hedefidir.",yazacağı; metnin; türüne; konu; tema; düşünce; amaç; hedef
turk_dili_ve_edebiyati-ort-B_3,61,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,B.3,Yazma konusuyla ilgili hazırlık yapar.,"a. Konuyla ilgili okuma ve araştırma yaptırılır. b. Yazısında kullanacağı bilgi, gözlem, düşünce, duygu, izlenim ve deneyimleriyle ilgili notlar çıkarması ve görsel, işitsel dokümanlar bulması veya hazırlaması sağlanır. c. Araştırma, kaynaklara ulaşma, Genel Ağ'ı doğru ve etkin kullanma, not alma ve özetleme teknikleri üzerinde durulur. ç. Kaynak kullanma ve alıntı yapmanın hukuki ve etik boyutları belirtilir. d. Konuyu sınırlamanın önemine değinilir.","Kazanımın odağı, öğrencinin yazma konusuyla ilgili hazırlık yapar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",yazma; konusuyla; hazırlık
turk_dili_ve_edebiyati-ort-B_4,62,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,B.4,Yazacağı metni planlar.,,"Kazanımın odağı, öğrencinin yazacağı metni planlar. hedefidir.",yazacağı; metni; planlar
turk_dili_ve_edebiyati-ort-B_5,63,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,B.5,Metin türüne özgü yapı özelliklerine uygun yazar.,"a. Metnin türüne göre birimlere, paragraflara, bölümlemelere, giriş-gelişme-sonuç/serim- düğüm- çözüm aşamalarına ve olay örgüsüne dikkat çekilir. b. Başlığı belirlemesi ve gerekirse alt başlık/bölüm başlığı ve epigraf kullanması sağlanır. c. Araştırmaya ve ispatlamaya dayalı metinlerde kaynak ve dipnot gösterme şekline karar vermesi sağlanır.","Kazanımın odağı, öğrencinin metin türüne özgü yapı özelliklerine uygun yazar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",metin; türüne; özgü; yapı; özelliklerine; uygun; yazar
turk_dili_ve_edebiyati-ort-B_6,64,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,B.6,Metin türüne özgü dil ve anlatım özelliklerine uygun yazar.,"a. Türle ilgili okuma kazanımlarında ifade edilen anlatım teknikleri, anlatım biçimleri/türleri ve düşünceyi geliştirme yollarından uygun olanlarını kullanması sağlanır. b. Şiirde ahenk unsurlarını, imge ve söz sanatlarını kullanması sağlanır. c. Metnin türüne göre terim, kavram, deyim, atasözü, ağız özellikleri kullanır.","Kazanımın odağı, öğrencinin metin türüne özgü dil ve anlatım özelliklerine uygun yazar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",metin; türüne; özgü; anlatım; özelliklerine; uygun; yazar
turk_dili_ve_edebiyati-ort-B_7,65,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,B.7,İyi bir anlatımda bulunması gereken özelliklere dikkat ederek yazar.,"İyi bir anlatımın açıklık, akıcılık, duruluk ve yalınlık gibi özellikler taşıması gerektiği hatırlatılır.","Kazanımın odağı, öğrencinin i̇yi bir anlatımda bulunması gereken özelliklere dikkat ederek yazar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",i̇yi; anlatımda; bulunması; gereken; özelliklere; dikkat; ederek; yazar
turk_dili_ve_edebiyati-ort-B_8,66,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,B.8,Farklı cümle yapılarını ve türlerini kullanır.,"Bir yazıda basit, birleşik, sıralı, bağlı, eksiltili, devrik, kurallı cümle; isim cümlesi ve fiil cümlesi şeklinde farklı cümle yapıları/türlerinin kullanılmasının metne katkısı vurgulanır.","Kazanımın odağı, öğrencinin farklı cümle yapılarını ve türlerini kullanır. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",farklı; cümle; yapılarını; türlerini
